ind_id,ind_definition,reportyear,family_type,race_eth_code,race_eth_name,geotype,geotypevalue,geoname,county_name,county_fips,region_name,region_code,fam_lt_lw,families,pct_lt_lw,LL_95CI,UL_95CI,se,rse,family_type_decile,CA_RR,livingwage,version
770,Living wage and percent of families with incomes below the living wage,2010,MarriedCouple2Children,1,AIAN,CA,06,California,,,,,2526,9509,26.6,NA,NA,NA,NA,,1.06,22.15,9/29/2013
770,Living wage and percent of families with incomes below the living wage,2010,MarriedCouple2Children,2,Asian,CA,06,California,,,,,81486,452847,18.0,NA,NA,NA,NA,,0.72,22.15,9/29/2013
770,Living wage and percent of families with incomes below the living wage,2010,MarriedCouple2Children,3,AfricanAm,CA,06,California,,,,,20382,100319,20.3,NA,NA,NA,NA,,0.81,22.15,9/29/2013
770,Living wage and percent of families with incomes below the living wage,2010,MarriedCouple2Children,4,Latino,CA,06,California,,,,,490640,1156849,42.4,NA,NA,NA,NA,,1.70,22.15,9/29/2013
770,Living wage and percent of families with incomes below the living wage,2010,MarriedCouple2Children,5,NHOPI,CA,06,California,,,,,2144,10732,20.0,NA,NA,NA,NA,,0.80,22.15,9/29/2013
770,Living wage and percent of families with incomes below the living wage,2010,MarriedCouple2Children,6,White,CA,06,California,,,,,137192,1198487,11.4,NA,NA,NA,NA,,0.46,22.15,9/29/2013
770,Living wage and percent of families with incomes below the living wage,2010,MarriedCouple2Children,7,Multiple,CA,06,California,,,,,7176,41009,17.5,NA,NA,NA,NA,,0.70,22.15,9/29/2013
770,Living wage and percent of families with incomes below the living wage,2010,MarriedCouple2Children,8,Other,CA,06,California,,,,,2041,8192,24.9,NA,NA,NA,NA,,1.00,22.15,9/29/2013
770,Living wage and percent of families with incomes below the living wage,2010,MarriedCouple2Children,9,Total,CA,06,California,,,,,743587,2977944,25.0,NA,NA,NA,NA,,1.00,22.15,9/29/2013
770,Living wage and percent of families with incomes below the living wage,2010,MarriedCouple2Children,1,AIAN,CO,06001,Alameda,Alameda,06001,Bay Area,01,71,320,22.2,NA,NA,NA,NA,,0.89,22.64,9/29/2013
